"FILE_ID","FILE_NAME","LOCATION","ELAPSED_TIME","SPECIES","DIFFICULTY_LEVEL","updated_by","updated_on","created_by","created_on"
1358,"2840",,3,"105","3",aws_user,2015-09-01 18:22:55.343,aws_user,2015-09-01 18:22:55.343
1359,"2854",,3,"105","3",aws_user,2015-09-01 18:22:55.370,aws_user,2015-09-01 18:22:55.370
1360,"2864",,5,"105","2",aws_user,2015-09-01 18:22:55.393,aws_user,2015-09-01 18:22:55.393
1361,"2915",,10,"105","1",aws_user,2015-09-01 18:22:55.417,aws_user,2015-09-01 18:22:55.417
1362,"2923",,10,"105","1",aws_user,2015-09-01 18:22:55.440,aws_user,2015-09-01 18:22:55.440
1363,"2927",,10,"105","1",aws_user,2015-09-01 18:22:55.467,aws_user,2015-09-01 18:22:55.467
1364,"2948",,5,"403","2",aws_user,2015-09-01 18:22:55.493,aws_user,2015-09-01 18:22:55.493
1365,"2973",,10,"403","1",aws_user,2015-09-01 18:22:55.520,aws_user,2015-09-01 18:22:55.520
1366,"2975",,5,"403","2",aws_user,2015-09-01 18:22:55.547,aws_user,2015-09-01 18:22:55.547
1367,"3005",,5,"403","2",aws_user,2015-09-01 18:22:55.570,aws_user,2015-09-01 18:22:55.570
1368,"3007",,3,"403","3",aws_user,2015-09-01 18:22:55.597,aws_user,2015-09-01 18:22:55.597
1369,"3019",,3,"603","3",aws_user,2015-09-01 18:22:55.620,aws_user,2015-09-01 18:22:55.620
1370,"3022",,5,"104","2",aws_user,2015-09-01 18:22:55.643,aws_user,2015-09-01 18:22:55.643
1371,"3028",,5,"104","2",aws_user,2015-09-01 18:22:55.667,aws_user,2015-09-01 18:22:55.667
1372,"3041",,10,"401","1",aws_user,2015-09-01 18:22:55.690,aws_user,2015-09-01 18:22:55.690
1373,"3051",,10,"401","1",aws_user,2015-09-01 18:22:55.717,aws_user,2015-09-01 18:22:55.717
1374,"3052",,5,"401","2",aws_user,2015-09-01 18:22:55.740,aws_user,2015-09-01 18:22:55.740
1375,"3061",,5,"401","2",aws_user,2015-09-01 18:22:55.767,aws_user,2015-09-01 18:22:55.767
1376,"3072",,5,"403","2",aws_user,2015-09-01 18:22:55.790,aws_user,2015-09-01 18:22:55.790
1377,"3080",,5,"403","2",aws_user,2015-09-01 18:22:55.813,aws_user,2015-09-01 18:22:55.813
1378,"3092",,10,"403","1",aws_user,2015-09-01 18:22:55.840,aws_user,2015-09-01 18:22:55.840
1379,"3099",,10,"403","1",aws_user,2015-09-01 18:22:55.863,aws_user,2015-09-01 18:22:55.863
1380,"3106",,10,"403","1",aws_user,2015-09-01 18:22:55.887,aws_user,2015-09-01 18:22:55.887
1381,"3116",,10,"602","1",aws_user,2015-09-01 18:22:55.917,aws_user,2015-09-01 18:22:55.917
1382,"3120",,5,"602","2",aws_user,2015-09-01 18:22:55.940,aws_user,2015-09-01 18:22:55.940
1383,"3123",,3,"602","3",aws_user,2015-09-01 18:22:55.963,aws_user,2015-09-01 18:22:55.963
1384,"3131",,5,"602","2",aws_user,2015-09-01 18:22:55.990,aws_user,2015-09-01 18:22:55.990
1385,"3135",,3,"605","3",aws_user,2015-09-01 18:22:56.017,aws_user,2015-09-01 18:22:56.017
1386,"3141",,10,"602","1",aws_user,2015-09-01 18:22:56.040,aws_user,2015-09-01 18:22:56.040
1387,"3142",,3,"602","3",aws_user,2015-09-01 18:22:56.063,aws_user,2015-09-01 18:22:56.063
1388,"3150",,10,"104","1",aws_user,2015-09-01 18:22:56.090,aws_user,2015-09-01 18:22:56.090
1389,"3156",,5,"104","2",aws_user,2015-09-01 18:22:56.113,aws_user,2015-09-01 18:22:56.113
1390,"3160",,10,"104","1",aws_user,2015-09-01 18:22:56.137,aws_user,2015-09-01 18:22:56.137
1391,"3162",,5,"104","2",aws_user,2015-09-01 18:22:56.163,aws_user,2015-09-01 18:22:56.163
1392,"3166",,5,"102","2",aws_user,2015-09-01 18:22:56.187,aws_user,2015-09-01 18:22:56.187
1393,"3170",,10,"102","1",aws_user,2015-09-01 18:22:56.210,aws_user,2015-09-01 18:22:56.210
1394,"3178",,3,"102","3",aws_user,2015-09-01 18:22:56.237,aws_user,2015-09-01 18:22:56.237
1395,"3181",,10,"102","1",aws_user,2015-09-01 18:22:56.260,aws_user,2015-09-01 18:22:56.260
1396,"3192",,5,"104","2",aws_user,2015-09-01 18:22:56.283,aws_user,2015-09-01 18:22:56.283
1397,"3195",,10,"104","1",aws_user,2015-09-01 18:22:56.310,aws_user,2015-09-01 18:22:56.310
1398,"3200",,10,"410","1",aws_user,2015-09-01 18:22:56.337,aws_user,2015-09-01 18:22:56.337
1399,"3209",,5,"410","2",aws_user,2015-09-01 18:22:56.360,aws_user,2015-09-01 18:22:56.360
1400,"3221",,10,"410","1",aws_user,2015-09-01 18:22:56.383,aws_user,2015-09-01 18:22:56.383
1401,"3227",,3,"410","3",aws_user,2015-09-01 18:22:56.410,aws_user,2015-09-01 18:22:56.410
1402,"3231",,3,"410","3",aws_user,2015-09-01 18:22:56.437,aws_user,2015-09-01 18:22:56.437
1403,"3232",,3,"410","3",aws_user,2015-09-01 18:22:56.460,aws_user,2015-09-01 18:22:56.460
1404,"3234",,5,"602","2",aws_user,2015-09-01 18:22:56.483,aws_user,2015-09-01 18:22:56.483
1405,"3247",,5,"605","2",aws_user,2015-09-01 18:22:56.510,aws_user,2015-09-01 18:22:56.510
1406,"3264",,10,"602","1",aws_user,2015-09-01 18:22:56.533,aws_user,2015-09-01 18:22:56.533
