"MLog","RescueDate","RescuePerDay","Gear","GearDesc","EntLoc","CreateBy","CreateDate","UpdateBy","UpdateDate"
406,1996-12-21 00:00:00.000,1,Crab,,Unknown,tpitchford,1996-12-23 00:00:00.000,D,2009-07-09 10:09:34.340
411,1998-12-13 00:00:00.000,1,Mono,,Unknown,bwagoner,1998-12-20 00:00:00.000,D,2009-07-09 10:09:34.340
415,1996-01-18 00:00:00.000,1,Mono,,Unknown,bwagoner,1996-02-08 00:00:00.000,D,2009-07-09 10:09:34.340
415,1996-02-07 00:00:00.000,1,Mono,,Unknown,bwagoner,1996-02-08 00:00:00.000,D,2009-07-09 10:09:34.340
430,1999-04-06 00:00:00.000,1,Mono,,both left & right pectorals,rrose,1999-04-07 00:00:00.000,dszemer,2010-12-02 10:13:21.360
430,2000-05-30 00:00:00.000,1,Mono,,right pectoral flipper,rrose,2000-06-01 00:00:00.000,dszemer,2010-12-02 10:09:00.270
430,2001-12-03 00:00:00.000,1,Mono,,Right pectoral,pcook,2001-12-04 00:00:00.000,D,2009-07-09 10:09:34.340
430,2003-03-24 00:00:00.000,1,Mono,,Right pec,mrodriguez,2003-03-24 00:00:00.000,D,2009-07-09 10:09:34.340
430,2003-11-13 00:00:00.000,1,Mono,,left flipper,chudak,2003-11-14 00:00:00.000,D,2009-07-09 10:09:34.340
430,2006-07-24 00:00:00.000,1,Mono,,on both flippers,chudak,2006-07-27 00:00:00.000,D,2009-07-09 10:09:34.340
430,2008-04-07 00:00:00.000,1,Mono,,both flippers,chudak,2008-04-09 00:00:00.000,D,2009-07-09 10:09:34.340
430,2011-05-13 00:00:00.000,1,Mono,"",both flippers,dszemer,2012-02-02 09:56:59.933,D,2012-02-02 09:56:59.933
430,2014-03-01 00:00:00.000,1,Mono,Monofilament line wrapped around left pectoral flippers. (Left flipper also reported to have had a buoy and trap line trailing behind.--unconfirmed),left flipper,lconnor,2014-03-12 14:18:00.100,dszemer,2014-08-27 09:55:06.120
443,1998-08-08 00:00:00.000,1,Mono,,Unknown,bwagoner,1998-08-11 00:00:00.000,D,2009-07-09 10:09:34.340
443,2004-04-26 00:00:00.000,1,Mono,,Right pect,bwagoner,2004-04-27 00:00:00.000,D,2009-07-09 10:09:34.340
446,2008-12-18 00:00:00.000,1,Mono,,Both pectoral flippers,bwagoner,2008-12-18 00:00:00.000,D,2009-07-09 10:09:34.340
447,1999-02-15 00:00:00.000,1,Mono,,Unknown,aspellman,1999-02-19 00:00:00.000,D,2009-07-09 10:09:34.340
447,2012-01-10 00:00:00.000,1,Mono,embedded and a nest of mono trailing,Right flipper,crush,2012-03-29 13:21:22.653,nadimey,2013-02-11 11:18:26.700
461,2013-12-01 00:00:00.000,1,Oth,Blue line and orange PFD,Tag,rcimino,2014-01-28 07:55:26.767,D,2014-01-28 07:55:26.767
468,1976-04-16 00:00:00.000,1,Oth,Unknown,Unknown,bwagoner,1976-04-16 00:00:00.000,D,2009-07-09 10:09:34.340
481,1979-09-21 00:00:00.000,1,Crab,,Unknown,bwagoner,1979-09-21 00:00:00.000,D,2009-07-09 10:09:34.340
492,1985-06-13 00:00:00.000,1,Crab,,Unknown,bwagoner,1985-06-13 00:00:00.000,D,2009-07-09 10:09:34.340
504,2000-08-24 00:00:00.000,1,Mono,,Unknown,bwagoner,2000-09-05 00:00:00.000,D,2009-07-09 10:09:34.340
508,1992-08-15 00:00:00.000,1,Crab,,Unknown,bwagoner,1992-08-17 00:00:00.000,D,2009-07-09 10:09:34.340
509,1993-05-18 00:00:00.000,1,Mono,,Unknown,rrunnells,1993-05-19 00:00:00.000,D,2009-07-09 10:09:34.340
512,1995-05-29 00:00:00.000,1,Crab,,Unknown,aspellman,1995-05-30 00:00:00.000,D,2009-07-09 10:09:34.340
517,1997-05-18 00:00:00.000,1,Mono,,Unknown,bwagoner,1997-05-21 00:00:00.000,D,2009-07-09 10:09:34.340
521,1998-07-31 00:00:00.000,1,Crab,,Unknown,rrunnells,1998-08-01 00:00:00.000,D,2009-07-09 10:09:34.340
522,1998-12-07 00:00:00.000,1,Crab,,Unknown,bwagoner,1998-12-09 00:00:00.000,D,2009-07-09 10:09:34.340
524,1999-05-16 00:00:00.000,1,Crab,,Unknown,bwagoner,1999-05-29 00:00:00.000,D,2009-07-09 10:09:34.340
528,1979-01-01 00:00:00.000,1,Crab,,Unknown,unk,1979-01-01 00:00:00.000,D,2009-07-09 10:09:34.340
531,1994-07-23 00:00:00.000,1,Crab,,Unknown,unk,1994-07-23 00:00:00.000,D,2009-07-09 10:09:34.340
532,1980-08-08 00:00:00.000,1,Crab,,Unknown,unk,1980-08-08 00:00:00.000,D,2009-07-09 10:09:34.340
542,2004-01-23 00:00:00.000,1,FH,Reported to not be removed,unknown,nadimey,2011-09-27 11:14:32.430,D,2011-09-27 11:14:32.430
542,2004-01-23 00:00:00.000,1,Mono,,Unknown,jklee,2004-12-31 00:00:00.000,nadimey,2011-09-27 11:13:33.793
543,2006-10-02 00:00:00.000,1,Fl,"",around flipper,nadimey,2011-09-27 11:30:11.120,D,2011-09-27 11:30:11.120
543,2006-10-02 00:00:00.000,1,Rope,,wrapped around belly ,nadimey,2006-10-02 00:00:00.000,nadimey,2011-09-27 11:29:30.580
544,2001-01-11 00:00:00.000,1,Oth,Unknown,"right anterior margin of the tail, slanted forward",bbonde,2001-01-19 00:00:00.000,D,2009-07-09 10:09:34.340
546,2005-05-28 00:00:00.000,1,Oth,Unknown,peduncle,csurrey,2005-05-28 00:00:00.000,D,2009-07-09 10:09:34.340
