"MLog","ReqHalfYr","ReqYear","Health","HealthDiag","Bloods","Status","Time","Weight","EstW","WDate","Length","EstL","LDate","VetID","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
463,"2",2010,S,U,N,CondRel,G,1159,N,2010-08-19 00:00:00.000,326,N,2010-08-19 00:00:00.000,mwalsh,HSSWP,slowe,2010-08-24 14:54:35.287,nadimey,2010-08-24 15:20:52.467
463,"2",2011,S,Currently enrolled in weight reduction study.,N,CondRel,G,1193,N,2011-07-27 00:00:00.000,359,N,2011-07-27 00:00:00.000,mwalsh,HSSWP,slowe,2011-08-05 14:56:51.680,D,2011-08-05 14:56:51.680
463,"2",2012,S,Long term captive female.,N,CondNon,,1165,N,2012-08-23 00:00:00.000,339,N,2012-08-23 00:00:00.000,rball,HSSWP,slowe,2012-08-31 14:38:25.983,D,2012-08-31 14:38:25.983
463,"2",2013,S,S,N,CondNon,,1065,N,2013-07-31 00:00:00.000,315,N,2013-08-01 00:00:00.000,rball,HSSWP,slowe,2013-08-05 11:27:59.890,dszemer,2013-08-14 12:25:36.923
463,"2",2014,S,Long term captive female.,N,CondNon,,2300,Y,2014-07-24 00:00:00.000,315,N,2014-07-24 00:00:00.000,rball,HSSWP,slowe,2014-08-12 08:28:27.017,D,2014-08-12 08:28:27.017
463,"2",2016,S,Long term captive female.,N,CondNon,,946,N,2016-08-18 00:00:00.000,324,N,2016-08-18 00:00:00.000,rball,HSSWP,tfowler,2016-08-21 09:38:20.337,D,2016-08-21 09:38:20.337
464,"1",2009,S,papilloma virus,U,CondRel,G,1293,N,2008-10-02 00:00:00.000,355,N,2009-03-08 00:00:00.000,mlowe,HSSWP,mlowe,2009-03-11 00:00:00.000,D,2009-07-09 10:54:07.033
464,"1",2010,S,Reproductive health assessment pending per facility veterinarian Dr. Ray Ball.,N,CondRel,G,1232,N,2009-08-28 00:00:00.000,347,N,2009-08-28 00:00:00.000,mlowe,HSSWP,slowe,2010-01-15 18:44:46.640,D,2010-01-15 18:44:46.640
464,"1",2011,S,S,N,CondRel,G,1120,N,2011-03-03 00:00:00.000,343,N,2011-03-03 00:00:00.000,mwalsh,HSSWP,slowe,2011-01-14 10:26:03.277,nadimey,2011-03-07 12:38:32.507
464,"2",2009,S,History of papilloma virus. Ongoing skin lesions.,N,CondRel,G,560,N,2009-08-28 00:00:00.000,370,N,2009-08-28 00:00:00.000,mlowe,HSSWP,slowe,2009-09-02 19:39:35.860,D,2009-09-02 19:39:35.860
464,"2",2010,S,S,N,Release,W,1140,N,2010-08-19 00:00:00.000,335,N,2010-08-19 00:00:00.000,mwalsh,HSSWP,slowe,2010-08-24 13:36:44.287,nadimey,2010-08-24 15:19:01.843
464,"2",2011,S,"Chronic mammary inflammation right mammary gland. Currently on infusion of antibiotics into mammary gland.
Blood work: Chronic elevated triglyceride and cholesterol levels during reducing diet study.",A,CondRel,G,1113,N,2011-08-04 00:00:00.000,344,N,2011-08-04 00:00:00.000,mwalsh,HSSWP,slowe,2011-08-05 15:06:22.930,D,2011-08-05 15:06:22.930
465,"1",2009,S,Papilloma Virus,U,CondRel,G,1143,N,2008-10-02 00:00:00.000,335,N,2009-03-08 00:00:00.000,mlowe,HSSWP,mlowe,2009-03-11 00:00:00.000,D,2009-07-09 10:54:07.033
465,"1",2010,S,Reproductive health assessment pending per facility veterinarian Dr. Ray Ball.,N,CondRel,G,1143,N,2008-10-02 00:00:00.000,338,N,2009-12-06 00:00:00.000,mlowe,HSSWP,slowe,2010-01-15 18:52:05.410,D,2010-01-15 18:52:05.410
465,"1",2011,S,S,N,CondRel,G,1077,N,2011-03-07 00:00:00.000,335,N,2011-03-07 00:00:00.000,mwalsh,HSSWP,slowe,2011-01-14 10:28:39.677,nadimey,2011-03-10 12:23:13.517
465,"1",2012,S,"Enrolled in weight reduction study but study was halted in August to allow for animals that were going to be released back to the wild.
",N,CondRel,G,1097,N,2012-03-08 00:00:00.000,335,N,2012-03-08 00:00:00.000,rball,HSSWP,slowe,2012-03-09 15:11:59.163,D,2012-03-09 15:11:59.163
465,"1",2013,S,animal is doing well,N,CondNon,,1080,N,2012-08-23 00:00:00.000,330,N,2012-08-23 00:00:00.000,rball,HSSWP,slowe,2013-01-31 09:49:57.220,nadimey,2013-03-28 20:22:20.293
465,"1",2014,S,Long term captive female.,N,CondNon,,1020,N,2014-04-03 00:00:00.000,337,N,2014-04-03 00:00:00.000,rball,HSSWP,slowe,2014-05-20 12:10:03.507,D,2014-05-20 12:10:03.507
465,"1",2015,S,Long term captive female.,N,CondNon,,1005,N,2015-04-07 00:00:00.000,338,N,2015-04-07 00:00:00.000,rball,HSSWP,tfowler,2015-04-13 08:46:11.853,D,2015-04-13 08:46:11.853
465,"1",2016,S,Long term captive female.,N,CondNon,,1004,N,2015-04-09 00:00:00.000,273,N,2015-04-09 00:00:00.000,rball,HSSWP,tfowler,2016-04-19 06:16:25.523,D,2016-04-19 06:16:25.523
465,"1",2019,S,Long term captive female.,N,CondNon,,896,N,2019-03-08 00:00:00.000,332,N,2019-03-08 00:00:00.000,sgearhart,HSSWP,tfowler,2019-03-30 13:17:37.260,D,2019-03-30 13:17:37.260
465,"2",2009,S,History of Papilloma Virus. Ongoing skin lesions.,N,CondRel,G,519,N,2008-10-02 00:00:00.000,363,N,2009-08-28 00:00:00.000,mlowe,HSSWP,slowe,2009-09-02 19:44:13.660,D,2009-09-02 19:44:13.660
