"MLog","TagType","DateApplied","TagId","Info","Event","EventDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
9541,Pit-L,2022-02-15 00:00:00.000,"0007F5B9CA",,"",,lbraso,2022-02-15 09:05:44.860,D,2022-02-15 09:05:44.860
9541,Pit-R,2022-02-15 00:00:00.000,"0008056CCC",,"",,lbraso,2022-02-15 09:06:13.713,D,2022-02-15 09:06:13.713
9542,Pit-L,2022-02-10 00:00:00.000,"0008056A08",,"",,lbraso,2022-02-13 07:36:43.790,D,2022-02-13 07:36:43.790
9542,Pit-R,2022-02-10 00:00:00.000,"000805627E",,"",,lbraso,2022-02-13 07:37:16.937,D,2022-02-13 07:37:16.937
9543,Pit-L,2022-02-21 00:00:00.000,"0007F5BFA8",FIRST CHIP INSERTED DID NOT READ 0008056385,Rescue,2022-02-16 00:00:00.000,lbraso,2022-02-22 14:16:42.323,D,2022-02-22 14:16:42.323
9543,Pit-R,2022-02-21 00:00:00.000,"0008056024",PIT TAG,Rescue,2022-02-16 00:00:00.000,lbraso,2022-02-22 14:17:39.940,D,2022-02-22 14:17:39.940
9544,Pit-L,2022-02-27 00:00:00.000,"00080560B5",PIT TAG,Rescue,2022-02-16 00:00:00.000,lbraso,2022-02-27 08:50:58.457,D,2022-02-27 08:50:58.457
9544,Pit-R,2022-02-27 00:00:00.000,"0008055B2A",TROVAN,Rescue,2022-02-16 00:00:00.000,lbraso,2022-02-27 08:51:47.343,D,2022-02-27 08:51:47.343
9546,Pit-L,2022-03-31 00:00:00.000,"000783EC43",,"",,cmiller,2022-03-31 15:21:26.657,D,2022-03-31 15:21:26.657
9546,Pit-R,2022-03-31 00:00:00.000,"0007CEDA52",,"",,cmiller,2022-03-31 15:20:39.120,D,2022-03-31 15:20:39.120
9547,Pit-L,2022-02-21 00:00:00.000,"0007CED9FE",PIT TAG,Rescue,2022-02-18 00:00:00.000,lbraso,2022-02-22 14:18:53.110,D,2022-02-22 14:18:53.110
